Pesta?a,?rea,Funcionalidad,Descripci?n detallada,Dependencias directas,Estado actual,Notas de producto
Shell,Runtime,Resumen de estado del runtime,"Muestra el estado operativo de la aplicaci?n de escritorio, incluyendo la descripci?n del runtime actual, la superficie activa y se?ales b?sicas de disponibilidad para que el usuario sepa si Open-Nexus est? en condiciones de ejecutar ?rdenes.",products/desktop/ui/templates/open_nexus.html; /api/desktop/runtime; desktop.runtime.bootstrap,Funciona,?til como punto de confianza y diagn?stico; todav?a muy t?cnico para usuario final.
Shell,Entrada,Composer de ?rdenes libres,"Caja principal donde el usuario escribe una instrucci?n libre para que Nexus la interprete como una acci?n operativa o comercial, por ejemplo diagnosticar un servidor o preparar una acci?n de ventas.",products/desktop/ui/templates/open_nexus.html; /api/desktop/resolve; desktop.opennexus.engine,Funciona,"Es la semilla del puesto de mando, pero todav?a necesita m?s lenguaje de producto y menos sensaci?n de demo."
Shell,Salida,Panel de respuesta,"Panel central que devuelve el resultado textual de la orden ejecutada, pensado para mostrar respuesta del asistente, salida de resoluci?n o resumen de la acci?n realizada.",products/desktop/ui/templates/open_nexus.html; products/desktop/ui/static/js/open_nexus.js,Funciona,A?n es muy plano; deber?a evolucionar hacia salida estructurada por tipo de tarea.
Shell,Routing,Resoluci?n de skill,Panel lateral que expone c?mo Nexus ha clasificado la intenci?n del usuario y qu? skill o flujo ha resuelto como candidato para ejecutar la petici?n.,/api/desktop/resolve; desktop.runtime.assistant_runtime; skill router,Funciona,Muy ?til para depuraci?n; quiz? excesivo para usuario final si no lo simplificamos.
Shell,Permisos,Inventario de capacidades,Lista lateral que muestra las capacidades disponibles del runtime desktop para dar contexto sobre qu? acciones puede ejecutar Open-Nexus desde esa sesi?n.,/api/desktop/runtime; desktop.runtime.capabilities,Funciona,Buena como telemetr?a interna; seguramente habr? que traducirla a lenguaje m?s humano.
Operador,Topbar,Estado global y refresco,"Barra superior con navegaci?n, estado general de salud, ?ltimo refresco, frecuencia de autoactualizaci?n y resumen compacto del estado de recolecci?n.",products/desktop/ui/templates/nexus_v1.html; /api/nexus/health; /api/nexus/monitoring/collectors,Funciona,"Es la cabecera operativa real; ya sirve, pero a?n puede compactarse mejor."
Operador,Chat,Timeline conversacional,"Vista principal de intercambio entre usuario y Nexus, con mensajes de sistema y respuestas del coordinador para diagn?stico, contexto y decisiones operativas.",products/desktop/ui/templates/nexus_v1.html; /api/nexus/chat; app/agents/llm_router.py; Braingel backend,Funciona,Es el coraz?n del operador; depende de que el backend LLM oficial est? estable.
Operador,Chat,Prompts r?pidos,"Tira de accesos r?pidos que inserta preguntas operativas frecuentes como priorizar alarmas, explicar incidentes o cruzar correo con CRM.",products/desktop/ui/templates/nexus_v1.html; products/desktop/ui/static/js/nexus_v1.js,Funciona,Muy ?til para onboarding y uso repetitivo.
Operador,Chat,Composer con modo operativo,"Formulario para enviar mensajes a Nexus con selector de modo (`general`, `monitoring`, `incident`) para orientar el tipo de contexto esperado.",products/desktop/ui/templates/nexus_v1.html; /api/nexus/chat,Funciona,"El selector es ?til hoy, aunque quiz? en el futuro deber?a ser m?s impl?cito."
Operador,Correo,Bandeja de correo prioritario Thunderbird,"Panel lateral que muestra mensajes prioritarios le?dos desde Thunderbird/IMAP, con foco en correos relevantes para operaci?n y ventas y visibilidad de las cuentas detectadas.",/api/nexus/mail/status; /api/nexus/mail/priority; app/nexus/mail/service.py,Funciona con matices,"La limpieza de previews mejor?, pero a?n hay que validar m?s correos reales complejos."
Operador,Actividad,Feed de acciones y alarmas,"Feed lateral con pesta?as de actividad e historial para reflejar eventos procesados, acciones autom?ticas, alarmas y trazabilidad reciente del operador.",/api/nexus/audit*; /api/nexus/monitoring*; products/desktop/ui/static/js/nexus_v1.js,Funciona,Todav?a necesita mejor jerarqu?a visual para que sea realmente operativo.
Sales,Prospecci?n,Brief de prospecci?n guiada,"Formulario principal del agente de prospecci?n para definir vertical, objetivo, ciudad, provincia, regi?n, radio, n?mero deseado de resultados, score m?nimo y criterios de filtrado.",products/desktop/ui/templates/nexus_sales.html; /api/nexus/prospecting/run; app/nexus/prospecting/service.py,Funciona,Es el bloque principal de Sales; el flujo existe pero el resultado depende de discovery y scoring reales.
